,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR
3,Texas Tech,B12,38,31,115.2,85.2,0.9696,53.5,43.0,17.7,22.8,27.4,28.7,32.9,36.6,52.8,41.9,36.5,29.7,67.5,7.0,2ND,3.0,2019
6,Virginia,ACC,38,35,123.0,89.9,0.9736,55.2,44.7,14.7,17.5,30.4,25.4,29.1,26.3,52.5,45.7,39.5,28.9,60.7,11.1,Champions,1.0,2019
16,Duke,ACC,38,32,118.9,89.2,0.9646,53.6,45.0,17.5,19.4,35.6,29.5,33.2,24.0,58.0,45.0,30.8,29.9,73.6,11.2,E8,1.0,2019
17,Purdue,B10,36,26,122.8,94.3,0.9539,53.6,49.0,15.8,18.6,34.5,27.0,29.9,31.7,51.5,47.2,37.4,34.2,67.0,6.1,E8,3.0,2019
27,Kentucky,SEC,37,30,117.5,89.8,0.9568,53.0,46.6,18.6,17.9,36.8,25.5,41.9,26.8,52.9,43.6,35.4,34.3,66.9,8.8,E8,2.0,2019
29,Gonzaga,WCC,37,33,123.4,89.9,0.9744,59.0,44.2,14.9,19.0,31.5,26.8,35.3,25.9,61.4,43.4,36.3,30.4,72.0,7.0,E8,1.0,2019
32,Michigan St.,B10,39,32,119.9,91.0,0.9597,55.2,43.9,18.5,14.9,33.9,26.4,33.6,27.5,54.3,41.9,37.8,31.6,68.6,10.7,F4,2.0,2019
39,Auburn,SEC,39,30,121.3,95.2,0.9420000000000001,54.4,51.7,16.8,24.6,31.6,32.8,30.9,36.4,51.7,51.4,38.1,34.8,69.3,6.1,F4,5.0,2019
84,Davidson,A10,33,24,107.3,99.8,0.6974,53.1,48.3,16.7,16.7,23.3,24.8,28.3,30.0,52.8,47.3,35.6,33.0,66.1,-0.9,0,0.0,2019
85,Dayton,A10,33,21,111.1,98.9,0.7915,56.1,47.9,18.8,16.8,26.9,27.4,32.1,23.8,59.5,47.7,33.2,32.1,66.1,-2.3,0,0.0,2019
86,Duquesne,A10,32,19,103.8,104.4,0.4824,49.9,49.9,19.8,21.6,31.9,35.1,35.0,31.9,51.1,49.5,32.2,33.8,71.0,-6.7,0,0.0,2019
87,Fordham,A10,31,12,96.0,102.6,0.3181,46.8,49.5,16.4,19.1,25.1,28.0,24.5,36.9,44.7,49.6,33.0,32.9,66.3,-14.9,0,0.0,2019
88,George Mason,A10,33,18,102.8,103.9,0.4688,50.1,50.2,18.9,18.2,29.0,27.2,34.2,30.6,50.5,51.6,33.0,32.0,69.2,-6.8,0,0.0,2019
89,George Washington,A10,33,9,95.4,104.5,0.259,45.8,51.2,18.2,17.1,23.4,28.5,32.6,30.2,45.3,49.8,31.1,35.6,68.8,-15.8,0,0.0,2019
90,La Salle,A10,31,10,99.7,102.5,0.42200000000000004,47.2,51.3,20.2,19.8,28.9,28.9,28.5,41.3,45.3,51.2,33.1,34.2,70.6,-13.3,0,0.0,2019
91,Massachusetts,A10,32,11,102.6,108.6,0.3433,51.1,51.2,20.2,16.8,31.5,27.1,31.3,41.4,50.2,50.6,35.0,35.0,69.0,-13.8,0,0.0,2019
92,Rhode Island,A10,33,18,103.5,99.9,0.6009,47.4,48.7,17.8,20.2,31.3,27.9,36.8,35.7,50.0,48.8,28.0,32.3,68.9,-6.8,0,0.0,2019
93,Richmond,A10,33,13,108.0,107.6,0.5106,54.1,53.1,15.3,18.5,19.1,29.9,30.7,28.7,55.5,54.0,34.7,34.4,67.2,-13.5,0,0.0,2019
94,Saint Joseph's,A10,33,14,105.3,105.3,0.501,48.0,51.7,13.5,15.7,22.0,24.4,31.7,27.1,47.8,49.9,32.2,36.0,69.8,-10.5,0,0.0,2019
95,St. Bonaventure,A10,34,18,101.1,95.1,0.667,48.3,47.2,18.7,19.8,29.2,28.7,28.2,31.5,47.9,46.2,32.8,32.3,65.6,-8.3,0,0.0,2019
125,Boston College,ACC,31,14,106.2,101.5,0.628,48.5,48.4,17.5,16.6,28.6,31.5,35.0,29.4,49.1,48.8,31.7,32.0,68.8,-5.4,0,0.0,2019
126,Clemson,ACC,34,20,107.2,90.3,0.8773,50.7,47.6,19.7,19.8,27.8,24.5,33.5,30.0,51.5,44.4,32.8,35.0,67.4,0.1,0,0.0,2019
127,Georgia Tech,ACC,32,14,99.9,95.7,0.6205,49.2,45.7,21.0,18.7,25.3,31.6,34.3,34.8,50.7,46.3,30.7,29.7,68.5,-4.8,0,0.0,2019
128,Miami FL,ACC,32,14,109.3,98.8,0.7632,50.8,52.0,16.9,19.8,25.9,29.8,30.8,22.7,51.4,51.7,33.3,34.9,68.3,-5.1,0,0.0,2019
129,North Carolina St.,ACC,36,24,112.4,97.5,0.8368,52.0,49.4,17.3,21.5,36.0,28.8,28.5,38.8,51.6,51.0,35.2,30.9,72.8,1.9,0,0.0,2019
130,Notre Dame,ACC,33,14,107.3,99.8,0.6981,46.2,49.0,14.0,16.4,29.0,31.1,30.1,21.8,45.4,48.6,31.5,33.1,66.6,-5.7,0,0.0,2019
131,Pittsburgh,ACC,33,14,103.3,98.2,0.6421,47.9,47.7,19.6,21.3,32.1,32.8,42.3,32.9,46.9,45.8,33.1,33.6,68.7,-6.3,0,0.0,2019
132,Wake Forest,ACC,31,11,103.5,103.2,0.5087,44.8,53.3,19.4,16.1,33.9,27.3,37.6,35.2,44.1,54.7,30.8,34.1,68.9,-7.5,0,0.0,2019
165,Albany,AE,31,12,97.9,106.8,0.2683,49.3,52.1,20.9,18.5,27.3,28.3,32.5,30.2,46.9,51.0,34.8,35.9,67.3,-15.7,0,0.0,2019
166,Binghamton,AE,31,10,95.9,112.3,0.1407,49.5,52.3,18.5,16.7,20.9,31.7,24.3,25.2,48.4,49.0,33.9,38.4,67.2,-17.4,0,0.0,2019
167,Hartford,AE,32,18,106.8,110.7,0.3988,54.2,52.6,17.8,19.3,25.3,31.0,33.1,29.9,51.5,53.2,38.2,34.4,68.3,-9.2,0,0.0,2019
168,Maine,AE,31,5,93.0,110.9,0.1163,48.6,55.3,22.2,19.1,25.9,27.2,25.6,38.6,49.9,52.7,31.0,38.7,65.3,-20.9,0,0.0,2019
169,New Hampshire,AE,27,5,83.7,106.1,0.0613,44.0,51.5,18.4,16.9,21.5,24.7,21.9,38.0,39.4,52.1,32.6,33.6,67.1,-20.2,0,0.0,2019
170,Stony Brook,AE,32,24,97.5,99.6,0.4407,48.1,46.0,20.7,18.6,33.2,26.1,35.4,36.2,47.7,46.6,32.6,30.1,70.7,-3.8,0,0.0,2019
171,UMass Lowell,AE,30,15,101.7,112.7,0.2345,53.7,52.0,19.6,17.9,27.0,29.8,34.1,32.6,55.1,54.7,34.3,31.6,71.6,-13.0,0,0.0,2019
172,UMBC,AE,31,21,94.8,101.3,0.3181,48.4,51.4,18.3,22.9,24.5,24.4,31.1,32.9,49.5,51.8,31.3,34.0,66.2,-8.1,0,0.0,2019
207,Connecticut,Amer,33,16,107.8,101.0,0.6797,51.0,49.6,18.5,20.0,32.3,30.2,32.7,39.2,50.7,49.2,34.4,33.5,70.4,-5.7,0,0.0,2019
208,East Carolina,Amer,31,10,98.8,105.2,0.3273,46.1,51.0,19.0,19.5,28.2,31.0,35.6,41.8,47.7,52.0,28.4,32.9,69.9,-12.3,0,0.0,2019
209,Memphis,Amer,36,22,108.1,96.0,0.7973,51.0,48.6,19.8,21.3,33.4,30.9,37.3,37.5,52.5,48.9,32.2,32.2,75.7,-1.4,0,0.0,2019
210,SMU,Amer,32,15,112.2,104.2,0.7021,51.2,50.0,16.6,17.5,33.4,31.6,27.8,29.5,51.3,48.2,34.1,35.1,66.4,-6.4,0,0.0,2019
211,South Florida,Amer,37,24,101.8,95.4,0.6778,49.1,48.4,22.6,21.9,36.3,26.8,48.1,43.1,48.5,48.2,33.3,32.5,68.6,-4.5,0,0.0,2019
212,Tulane,Amer,31,4,97.0,105.0,0.2856,47.1,50.6,21.0,15.1,27.0,30.9,32.8,31.6,46.7,50.7,31.8,33.6,71.2,-17.2,0,0.0,2019
213,Tulsa,Amer,32,18,104.8,99.2,0.6507,51.2,48.1,18.0,17.6,23.0,29.4,43.4,30.3,51.3,47.3,34.0,32.8,70.1,-3.5,0,0.0,2019
214,Wichita St.,Amer,37,22,106.5,94.7,0.7946,46.9,47.6,17.4,17.6,32.5,26.9,28.8,38.8,47.1,46.5,31.0,33.0,69.4,-2.9,0,0.0,2019
243,Florida Gulf Coast,ASun,30,14,99.9,104.8,0.3675,52.6,52.1,21.2,19.2,25.6,30.8,31.9,27.4,50.7,49.9,36.9,36.8,69.8,-11.1,0,0.0,2019
244,Jacksonville,ASun,30,12,97.0,106.3,0.2581,49.6,52.1,19.9,18.2,28.3,27.4,30.5,28.8,51.0,50.3,31.2,37.0,72.5,-14.3,0,0.0,2019
245,Kennesaw St.,ASun,30,5,91.2,108.9,0.1151,40.9,53.7,19.0,17.1,29.2,30.8,30.1,27.7,39.1,53.7,31.4,35.9,69.6,-18.6,0,0.0,2019
246,Lipscomb,ASun,35,29,110.2,98.1,0.7929,54.8,48.4,17.8,19.6,26.0,23.8,36.3,27.9,53.8,48.5,37.5,32.1,74.4,-0.5,0,0.0,2019
247,NJIT,ASun,34,22,99.7,103.6,0.3896,50.7,49.0,17.1,17.9,21.9,27.1,38.4,29.7,49.8,48.8,34.8,32.8,68.2,-6.2,0,0.0,2019
248,North Alabama,ASun,29,10,94.1,104.8,0.2256,44.5,52.6,19.3,17.2,27.3,25.1,30.8,38.0,44.4,52.6,29.7,35.1,69.9,-14.7,0,0.0,2019
249,North Florida,ASun,31,16,102.5,103.8,0.4632,52.1,48.1,21.8,16.9,29.4,32.7,25.3,30.6,53.2,47.4,33.9,33.2,73.4,-7.9,0,0.0,2019
250,Stetson,ASun,29,7,96.0,112.6,0.1379,45.5,54.5,17.5,18.0,27.9,32.0,25.0,33.0,45.0,54.2,31.0,36.6,70.7,-17.7,0,0.0,2019
282,Illinois,B10,33,12,109.7,99.1,0.7633,49.6,52.2,18.4,21.8,29.1,31.9,29.5,42.4,48.2,53.6,34.5,33.0,71.9,-5.5,0,0.0,2019
283,Indiana,B10,35,19,107.5,95.2,0.802,51.0,48.2,17.9,18.1,28.1,28.1,34.6,29.2,53.1,47.3,31.2,33.1,68.5,0.0,0,0.0,2019
284,Nebraska,B10,35,19,112.5,98.1,0.8285,49.2,48.1,14.3,19.3,28.5,32.1,33.0,30.0,48.6,46.9,33.4,33.8,68.0,0.0,0,0.0,2019
285,Northwestern,B10,32,13,101.2,92.8,0.7319,46.6,46.7,16.1,17.9,24.2,26.3,30.2,34.0,46.4,48.0,31.3,29.3,67.3,-5.7,0,0.0,2019
286,Penn St.,B10,32,14,109.9,92.8,0.8755,47.5,49.9,18.1,19.6,31.9,26.3,32.3,34.1,47.2,48.4,32.0,35.4,68.9,-2.7,0,0.0,2019
287,Rutgers,B10,31,14,104.9,96.1,0.7336,47.0,49.2,19.1,17.4,33.4,27.0,31.7,32.4,47.2,47.0,31.2,35.3,69.0,-3.5,0,0.0,2019
301,Oklahoma St.,B12,32,12,109.1,100.6,0.7177,50.1,50.3,18.0,17.6,26.4,29.4,30.6,31.5,46.0,48.3,37.2,35.4,67.5,-4.1,0,0.0,2019
302,TCU,B12,37,23,109.8,94.5,0.8486,52.1,48.4,19.2,18.6,31.2,28.7,31.7,27.7,52.3,49.9,34.6,30.4,70.1,1.1,0,0.0,2019
303,Texas,B12,37,21,113.3,93.7,0.899,50.9,48.7,16.2,18.9,28.1,29.5,29.7,29.7,49.8,46.2,34.8,35.4,66.1,-0.5,0,0.0,2019
304,West Virginia,B12,36,15,108.8,100.7,0.7087,47.5,52.4,21.3,18.5,36.9,28.7,38.9,38.0,47.6,51.3,31.6,36.1,71.9,-3.7,0,0.0,2019
321,Butler,BE,33,16,110.5,100.9,0.7394,52.1,52.7,16.1,18.9,25.7,27.6,25.2,36.3,51.4,52.2,35.3,35.7,67.2,-4.4,0,0.0,2019
322,Creighton,BE,34,20,110.9,97.1,0.8229,56.2,52.8,18.6,19.1,24.7,26.8,29.0,27.9,55.7,52.9,37.9,35.0,70.1,-2.3,0,0.0,2019
323,DePaul,BE,36,19,111.7,106.3,0.6381,52.7,53.2,18.8,17.7,32.7,25.6,36.1,30.9,53.3,51.2,34.3,37.3,71.0,-5.2,0,0.0,2019
324,Georgetown,BE,33,19,107.7,101.3,0.6675,51.0,50.2,17.9,16.3,29.1,26.2,38.2,30.3,49.6,49.6,35.6,34.0,73.6,-2.5,0,0.0,2019
325,Providence,BE,34,18,104.3,95.0,0.7446,48.0,49.7,18.7,20.2,31.8,28.3,39.1,32.8,47.5,48.8,32.6,34.1,69.2,-3.4,0,0.0,2019
326,Xavier,BE,35,19,110.4,99.1,0.7748,52.8,50.7,19.6,16.2,32.2,27.2,32.6,24.9,54.7,48.7,33.1,35.6,66.6,-2.9,0,0.0,2019
371,Eastern Washington,BSky,33,16,100.1,106.4,0.3297,50.3,52.5,17.1,16.6,24.6,23.6,27.0,34.8,48.9,50.1,34.8,37.4,69.0,-11.9,0,0.0,2019
372,Idaho,BSky,29,5,94.5,118.0,0.07200000000000001,50.3,53.7,20.0,13.3,24.2,32.0,28.2,33.1,46.5,55.4,37.6,34.3,66.5,-23.4,0,0.0,2019
373,Idaho St.,BSky,28,11,102.7,116.6,0.18899999999999997,52.0,56.1,17.6,15.0,25.8,29.8,28.8,30.6,50.4,54.2,36.2,39.6,68.3,-14.3,0,0.0,2019
374,Montana St.,BSky,31,15,105.6,115.7,0.2578,53.4,57.1,17.1,17.2,26.3,26.6,34.9,28.3,51.1,57.4,37.6,37.8,71.3,-12.3,0,0.0,2019
375,North Dakota,BSky,26,12,97.4,104.6,0.305,51.3,52.5,17.9,17.3,21.0,25.4,27.2,30.0,49.6,52.2,36.0,35.3,71.1,-12.8,0,0.0,2019
376,Northern Arizona,BSky,31,10,99.4,112.0,0.2012,50.3,55.0,17.0,16.6,25.8,26.5,33.8,29.7,49.2,55.9,34.6,35.8,69.9,-16.7,0,0.0,2019
377,Northern Colorado,BSky,30,21,102.3,103.0,0.4808,53.0,51.4,18.4,18.6,27.7,25.6,34.8,28.4,53.6,49.5,34.9,37.1,67.9,-6.7,0,0.0,2019
378,Portland St.,BSky,29,16,101.1,111.2,0.2513,46.9,53.7,19.4,18.8,38.7,28.5,37.3,43.3,48.3,54.6,29.8,34.8,70.5,-12.0,0,0.0,2019
379,Sacramento St.,BSky,28,15,96.4,105.7,0.2581,48.7,52.6,19.1,21.4,28.2,27.1,33.5,36.8,48.3,50.8,33.1,37.0,69.0,-12.6,0,0.0,2019
380,Southern Utah,BSky,32,17,96.0,105.0,0.2635,50.2,50.4,18.9,16.9,23.2,24.7,39.4,38.0,50.0,48.0,33.7,36.1,72.2,-12.0,0,0.0,2019
381,Weber St.,BSky,31,18,99.9,105.3,0.3537,53.2,49.0,16.0,15.8,19.2,26.9,37.1,30.9,53.4,49.7,35.2,31.7,72.5,-10.7,0,0.0,2019
420,Campbell,BSth,30,20,106.9,108.8,0.4489,52.8,54.6,14.8,19.5,23.7,28.9,31.2,36.0,54.8,53.6,33.8,37.3,67.1,-7.4,0,0.0,2019
421,Charleston Southern,BSth,30,18,100.1,100.6,0.4843,49.8,50.9,18.0,21.1,29.1,27.7,27.0,31.2,48.4,48.8,34.5,35.9,70.5,-9.3,0,0.0,2019
422,Hampton,BSth,32,18,106.2,107.8,0.4565,48.9,50.8,14.6,16.3,28.1,26.6,34.8,35.9,47.5,50.5,34.1,34.2,72.5,-11.4,0,0.0,2019
423,High Point,BSth,29,16,98.7,103.9,0.358,49.1,50.3,20.4,16.3,34.1,25.5,33.8,29.1,51.0,51.5,30.3,32.6,65.0,-10.2,0,0.0,2019
424,Longwood,BSth,31,16,98.5,106.9,0.2814,52.4,50.5,20.4,17.4,24.5,25.2,33.6,33.7,50.8,50.5,36.0,33.7,68.5,-13.0,0,0.0,2019
425,Presbyterian,BSth,33,20,107.9,109.8,0.4499,53.4,53.4,14.7,17.9,25.3,27.4,30.5,33.1,50.1,53.5,38.0,35.4,68.9,-9.6,0,0.0,2019
426,Radford,BSth,30,22,107.3,104.4,0.5773,52.8,51.9,16.4,18.1,29.7,24.9,27.0,30.7,50.1,51.7,38.0,34.7,65.8,-4.4,0,0.0,2019
427,UNC Asheville,BSth,28,4,93.1,116.0,0.0741,46.2,55.7,23.5,18.2,27.7,37.1,26.3,33.7,45.2,56.7,31.7,36.2,63.7,-20.8,0,0.0,2019
428,USC Upstate,BSth,29,5,92.7,111.3,0.1084,47.4,53.1,19.9,18.2,24.7,31.3,25.3,39.0,46.8,54.0,32.1,34.3,69.5,-20.8,0,0.0,2019
429,Winthrop,BSth,27,18,104.8,107.0,0.4404,54.2,51.3,20.2,15.4,28.7,25.5,30.4,30.3,53.3,51.6,36.7,33.8,74.3,-6.5,0,0.0,2019
462,Cal Poly,BW,27,6,97.1,114.9,0.1262,47.2,52.6,17.0,15.6,26.1,31.4,25.8,38.1,46.6,51.5,32.0,36.5,67.5,-18.6,0,0.0,2019
463,Cal St. Fullerton,BW,32,16,97.0,102.2,0.354,49.1,48.3,19.1,16.8,24.5,27.0,38.5,35.7,50.3,48.5,30.8,32.0,71.1,-9.7,0,0.0,2019
464,Cal St. Northridge,BW,33,13,103.3,111.4,0.2967,51.5,51.6,16.7,17.1,28.4,32.5,31.8,32.2,50.3,48.2,36.1,38.4,72.3,-14.7,0,0.0,2019
465,Hawaii,BW,29,18,102.4,106.0,0.4013,52.3,50.8,17.6,17.4,26.9,24.7,31.2,32.9,52.2,50.3,35.0,34.5,67.5,-8.6,0,0.0,2019
466,Long Beach St.,BW,32,15,99.9,105.3,0.3533,47.6,51.1,19.0,18.9,28.9,33.0,40.8,30.2,46.3,51.6,33.8,33.5,73.0,-11.8,0,0.0,2019
467,UC Davis,BW,29,11,95.3,102.6,0.301,49.0,52.8,19.9,21.1,22.1,27.7,29.7,37.7,49.0,53.3,32.7,34.6,67.3,-14.0,0,0.0,2019
468,UC Riverside,BW,30,10,96.9,111.8,0.1613,51.2,54.4,20.3,16.0,25.1,26.5,22.7,33.4,47.2,53.7,38.0,37.2,64.8,-18.2,0,0.0,2019
469,UC Santa Barbara,BW,30,22,103.2,105.7,0.4295,50.3,49.7,16.8,16.6,33.1,26.2,39.5,32.4,49.4,50.8,34.8,31.8,65.9,-6.0,0,0.0,2019
506,College of Charleston,CAA,32,24,106.8,103.1,0.601,54.2,52.1,15.6,19.1,25.6,25.9,33.5,26.4,56.3,53.7,33.7,33.3,66.8,-3.1,0,0.0,2019
507,Delaware,CAA,31,17,103.4,112.1,0.2821,53.3,52.8,17.2,14.9,24.2,28.8,31.2,28.6,50.9,49.9,37.8,38.4,64.8,-11.1,0,0.0,2019
508,Drexel,CAA,31,13,103.1,112.9,0.2602,51.3,55.6,16.6,14.6,29.2,26.3,30.6,30.3,50.9,54.7,34.7,38.2,70.7,-13.6,0,0.0,2019
509,Elon,CAA,30,11,99.2,110.0,0.2335,52.0,53.6,18.4,15.2,22.4,28.3,24.3,29.4,52.2,51.5,34.6,37.8,69.5,-16.3,0,0.0,2019
510,Hofstra,CAA,34,27,114.7,108.6,0.6533,55.9,52.1,13.8,18.3,26.8,29.9,37.7,25.0,54.5,51.5,38.7,35.3,69.0,-1.9,0,0.0,2019
511,James Madison,CAA,31,14,100.0,110.1,0.2487,50.2,52.9,18.8,16.4,30.1,29.4,33.4,34.0,47.5,52.6,36.6,35.7,66.4,-14.1,0,0.0,2019
512,Towson,CAA,31,10,99.6,109.6,0.2501,47.9,52.1,18.8,15.2,35.2,27.3,28.1,33.0,47.6,50.8,32.6,35.7,64.8,-16.9,0,0.0,2019
513,UNC Wilmington,CAA,32,10,103.8,113.0,0.2734,50.5,56.0,18.5,14.5,31.7,26.7,32.8,31.9,49.3,54.4,35.0,38.8,70.6,-16.7,0,0.0,2019
514,William & Mary,CAA,30,14,102.3,107.0,0.3733,54.4,52.7,18.3,15.6,24.5,26.0,31.3,30.0,55.8,51.1,35.0,36.9,70.0,-11.1,0,0.0,2019
567,Charlotte,CUSA,29,8,95.0,107.7,0.1916,48.1,51.3,22.0,17.9,22.3,26.4,36.3,32.6,49.2,49.9,31.1,35.5,65.9,-15.4,0,0.0,2019
568,FIU,CUSA,30,20,101.4,105.1,0.3994,48.9,53.1,17.7,23.4,25.7,34.4,37.9,35.4,52.2,53.6,29.3,34.8,79.1,-7.9,0,0.0,2019
569,Florida Atlantic,CUSA,30,17,98.4,98.3,0.5042,47.9,48.2,20.7,18.1,29.0,25.4,28.6,31.4,47.0,48.7,32.6,31.6,68.7,-9.0,0,0.0,2019
570,Louisiana Tech,CUSA,31,20,103.3,102.1,0.5326,49.8,49.3,17.0,19.2,29.4,28.8,35.9,30.2,49.3,49.1,33.7,33.0,67.0,-7.0,0,0.0,2019
571,Marshall,CUSA,37,23,105.5,106.0,0.486,51.9,52.0,15.9,20.8,22.9,32.3,30.5,32.4,52.3,51.4,34.2,35.5,75.7,-6.4,0,0.0,2019
572,Middle Tennessee,CUSA,30,11,96.8,103.8,0.3091,46.7,50.8,22.8,17.5,32.3,28.1,29.6,34.2,45.7,50.5,32.3,34.1,69.1,-13.3,0,0.0,2019
573,North Texas,CUSA,30,21,97.4,97.6,0.4944,49.2,47.4,20.1,19.8,30.7,24.4,27.7,37.7,50.5,46.4,31.7,32.8,66.9,-7.1,0,0.0,2019
574,Rice,CUSA,30,13,101.3,109.1,0.2984,50.1,51.6,18.9,14.9,26.6,24.4,38.5,30.6,48.1,51.5,35.3,34.5,71.7,-13.0,0,0.0,2019
575,Southern Miss,CUSA,29,20,106.8,101.2,0.649,53.1,49.1,15.7,19.4,22.9,28.1,24.1,29.8,49.9,47.1,39.1,34.2,66.0,-5.7,0,0.0,2019
576,UAB,CUSA,33,20,106.2,105.1,0.5307,50.4,49.4,16.8,17.9,30.6,26.2,31.8,31.6,51.3,48.1,32.6,33.9,66.4,-7.4,0,0.0,2019
577,UTEP,CUSA,27,8,89.0,100.1,0.205,45.7,49.4,22.8,19.0,26.7,26.7,34.7,32.9,44.3,46.6,32.0,36.2,69.3,-15.5,0,0.0,2019
578,UTSA,CUSA,28,17,104.7,101.6,0.5851,49.5,49.5,16.4,18.1,26.1,28.4,26.2,35.6,48.0,50.0,34.3,32.5,73.3,-8.8,0,0.0,2019
